"Party","PartyGroup","BetterLeavePercent","GroupedPercent","GroupedPercent2","ConstituencyVote","Vote1","Vote2","Vote3","Vote4","Vote5","Vote6","Vote7","Vote8","SecondVote1","SecondVote2","SecondVote3","SecondVote4","Name","Constituency"
"Con","Con",0.7086291353,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Ben Bradley","Mansfield"
"Con","Con",0.5292889116,"Second","Leave","Leave","Against","Against","Against","Against","Against","Against","For","Against","Against","Against","Against","Against","George Hollingbery","Meon Valley"
"Con","Con",0.5880843468,"Third","StrongLeave","Leave","For","Against","Against","For","Against","Against","Against","For","For","Abstain","For","Abstain","Dame Caroline Spelman","Meriden"
"Lab","Lab",0.5840374391,"Third","StrongLeave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Gerald Jones","Merthyr Tydfil and Rhymney"
"Con","Con",0.522609586,"Second","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Nadine Dorries","Mid Bedfordshire"
"Con","Con",0.5253309968,"Second","Leave","Leave","Against","Against","Against","Against","Against","Abstain","For","Against","Against","Against","Against","Against","Pauline Latham","Mid Derbyshire"
"Con","Con",0.5792701099,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Michael Tomlinson","Mid Dorset and North Poole"
"Con","Con",0.6058269069,"Fourth","StrongLeave","Leave","For","Abstain","Against","For","Against","Abstain","Against","For","Abstain","Abstain","Abstain","Abstain","George Freeman","Mid Norfolk"
"Con","Con",0.4668898152,"Second","Remain","Remain","For","Against","Against","For","Against","Against","Against","Against","For","Against","For","Against","Sir Nicholas Soames","Mid Sussex"
"Con","Con",0.5894371379,"Third","StrongLeave","Leave","Abstain","Against","Against","Abstain","Against","Abstain","Abstain","Abstain","Abstain","Against","Abstain","Against","Nigel Huddleston","Mid Worcestershire"
"Lab","Lab",0.6608364664,"Fourth","StrongLeave","Leave","For","For","For","For","Abstain","Against","Abstain","Abstain","For","For","For","Abstain","Andy McDonald","Middlesbrough"
"Con","Con",0.6500282112,"Fourth","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Simon Clarke","Middlesbrough South and East Cle"
"Lab","Lab",0.3794096947,"First","Remain","Remain","For","For","For","For","For","Against","Against","Abstain","For","For","For","For","Danielle Rowley","Midlothian"
"Con","Con",0.4980023273,"Second","Remain","Remain","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Mark Lancaster","Milton Keynes North"
"Con","Con",0.5296084999,"Second","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Iain Stewart","Milton Keynes South"
"Lab","Lab",0.4468652381,"First","Remain","Remain","Against","For","Against","Against","For","Against","Against","Against","Against","For","Against","For","Siobhain McDonagh","Mitcham and Morden"
"Con","Con",0.4758537833,"Second","Remain","Remain","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Sir Paul Beresford","Mole Valley"
"Con","Con",0.4784503008,"Second","Remain","Remain","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","David T. C. Davies","Monmouth"
"Con","Con",0.5598584868,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","For","Against","Against","Against","Against","Glyn Davies","Montgomeryshire"
"Con","Con",0.4987319669,"Second","Remain","Remain","Against","Against","Against","Against","Against","Abstain","Abstain","Against","Against","Against","Against","Against","Douglas Ross","Moray"
"Con","Con",0.5891294279,"Third","StrongLeave","Leave","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","Against","David Morris","Morecambe and Lunesdale"
"Con","Con",0.5978587835,"Third","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Andrea Jenkyns","Morley and Outwood"
"SNP","Other",0.3697252683,"First","Remain","Remain","Abstain","For","Abstain","Abstain","For","Against","Against","Against","Abstain","For","For","For","Marion Fellows","Motherwell and Wishaw"
"SNP","Other",0.439006772,"First","Remain","Remain","Abstain","Abstain","Abstain","Abstain","For","Against","Against","Against","Abstain","Abstain","Abstain","Abstain","Angus Brendan MacNeil","Na h Eileanan an Iar"
"Lab","Lab",0.542076298,"Third","Leave","Leave","For","For","For","For","Abstain","Against","Against","Abstain","For","For","For","Abstain","Christina Rees","Neath"
"Con","Con",0.5954240312,"Third","StrongLeave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Julian Lewis","New Forest East"
"Con","Con",0.5587861576,"Third","Leave","Leave","Against","Against","Against","Against","Against","For","For","Against","Against","Against","Against","Against","Sir Desmond Swayne","New Forest West"
