Party,Name,Constituency,ConstituencyVote,Constituency%,Vote1,Vote2,Vote3,Vote4
Con,Crispin Blunt,Reigate,Remain,52,Against,Against,Against,Against
Ind,Nick Boles,Grantham and Stamford,Leave,61,For,For,For,For
Con,Peter Bone,Wellingborough,Leave,63,Against,Against,Against,Against
Con,Sir Peter Bottomley,Worthing West,Leave,56,Against,Against,Against,Against
Con,Andrew Bowie,West Aberdeenshire and Kincardine,Remain,61,Against,Against,Against,Against
Lab,Tracy Brabin,Batley and Spen,Leave,60,For,For,For,Abstain
Con,Ben Bradley,Mansfield,Leave,71,Against,Against,Against,Against
Con,Karen Bradley,Staffordshire Moorlands,Leave,65,Abstain,Abstain,Abstain,Abstain
Lab,Ben Bradshaw,Exeter,Remain,55,For,For,For,For
Con,Sir Graham Brady,Altrincham and Sale West,Remain,61,Against,Against,Against,Against
SF,Mickey Brady,Newry and Armagh,Remain,63,Abstain,Abstain,Abstain,Abstain
LD,Tom Brake,Carshalton and Wallington,Leave,56,Against,For,Against,For
Con,Suella Braverman,Fareham,Leave,56,Against,Against,Against,Against
Lab,Kevin Brennan,Cardiff West,Remain,56,For,For,For,For
Con,Jack Brereton,Stoke-on-Trent South,Leave,71,Against,Against,Against,Against
Con,Andrew Bridgen,North West Leicestershire,Leave,61,Against,Against,Against,Against
Con,Steve Brine,Winchester,Remain,60,For,For,For,Abstain
SNP,Deidre Brock,Edinburgh North and Leith,Remain,78,Abstain,For,For,For
Con,James Brokenshire,Old Bexley and Sidcup,Leave,62,Abstain,Abstain,Abstain,Abstain
SNP,Alan Brown,Kilmarnock and Loudoun,Remain,61,Abstain,For,For,For
Lab,Lyn Brown,West Ham,Remain,52,For,For,For,For
Lab,Nicholas Brown,Newcastle upon Tyne East,Remain,59,For,For,For,Abstain
Con,Fiona Bruce,Congleton,Leave,53,Against,Against,Against,Against
Lab,Chris Bryant,Rhondda,Leave,60,For,For,For,For
Lab,Karen Buck,Westminster North,Remain,66,For,For,For,For
Con,Robert Buckland,South Swindon,Leave,52,For,Against,Against,Against
Lab,Richard Burden,Birmingham - Northfield,Leave,62,For,For,For,For
Con,Alex Burghart,Brentwood and Ongar,Leave,61,Against,Against,Against,Against
Lab,Richard Burgon,Leeds East,Leave,61,For,For,For,Abstain
Con,Conor Burns,Bournemouth West,Leave,58,Against,Against,Against,Against
Con,Alistair Burt,North East Bedfordshire,Leave,53,For,Abstain,Abstain,Against
Lab,Dawn Butler,Brent Central,Remain,57,For,For,For,Abstain
Lab,Liam Byrne,Birmingham - Hodge Hill,Leave,52,For,For,For,Abstain
LD,Sir Vince Cable,Twickenham,Remain,67,Abstain,For,Abstain,For
Lab,Ruth Cadbury,Brentford and Isleworth,Remain,57,For,For,For,For
Con,Alun Cairns,Vale of Glamorgan,Leave,53,Abstain,Abstain,Abstain,Abstain
SNP,Lisa Cameron,East Kilbride - Strathaven and Le...,Remain,63,Abstain,For,For,For
Lab,Sir Alan Campbell,Tynemouth,Remain,52,For,For,For,Abstain
DUP,Gregory Campbell,East Londonderry,Remain,52,Against,Against,Against,Against
Lab,Ronnie Campbell,Blyth Valley,Leave,61,Against,Against,Against,Against
Lab,Dan Carden,Liverpool - Walton,Leave,52,For,For,For,Abstain
LD,Alistair Carmichael,Orkney and Shetland,Remain,60,Against,For,Abstain,For
Con,James Cartlidge,South Suffolk,Leave,54,Against,Against,For,Against
Con,Sir William Cash,Stone,Leave,57,Against,Against,Against,Against
Con,Maria Caulfield,Lewes,Remain,53,Against,Against,Against,Against
Con,Alex Chalk,Cheltenham,Remain,57,For,Abstain,Against,Abstain
Lab,Sarah Champion,Rotherham,Leave,68,For,Against,Against,Against
SNP,Douglas Chapman,Dunfermline and West Fife,Remain,61,Abstain,For,For,For
Lab,Jenny Chapman,Darlington,Leave,58,For,For,For,Abstain
Lab,Bambos Charalambous,Enfield - Southgate,Remain,62,For,For,For,For
SNP,Joanna Cherry,Edinburgh South West,Remain,72,Abstain,For,For,For
Con,Rehman Chishti,Gillingham and Rainham,Leave,64,Against,Against,Against,Against
Con,Sir Christopher Chope,Christchurch,Leave,60,Against,Against,Against,Against
